athlete_id,date,mood,text
ath_harper,2025-08-20,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_harper,2025-10-15,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_harper,2025-12-10,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_harper,2026-02-18,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_harper,2026-04-12,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_harper,2026-06-05,flat,"Solid week. Not my best, not my worst. resilience still needs reps and I know it."
ath_dani,2025-08-20,flat,"Solid week. Not my best, not my worst. focus still needs reps and I know it."
ath_dani,2025-10-15,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_dani,2025-12-10,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_dani,2026-02-18,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_dani,2026-04-12,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_dani,2026-06-05,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_reese,2025-08-20,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_reese,2025-10-15,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_reese,2025-12-10,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_reese,2026-02-18,down,"Couldn't find it today. Wrote down one lesson like the guide says, then closed the notebook."
ath_reese,2026-04-12,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_reese,2026-06-05,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_marisol,2025-08-20,flat,"Solid week. Not my best, not my worst. resilience still needs reps and I know it."
ath_marisol,2025-10-15,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_marisol,2025-12-10,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_marisol,2026-02-18,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_marisol,2026-04-12,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_marisol,2026-06-05,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_tati,2025-08-20,flat,"Solid week. Not my best, not my worst. resilience still needs reps and I know it."
ath_tati,2025-10-15,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_tati,2025-12-10,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_tati,2026-02-18,down,"I know one game isn't the season, but this month feels heavy. Sticking to the plan anyway."
ath_tati,2026-04-12,flat,"Solid week. Not my best, not my worst. resilience still needs reps and I know it."
ath_tati,2026-06-05,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_kenzie,2025-08-20,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_kenzie,2025-10-15,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_kenzie,2025-12-10,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_kenzie,2026-02-18,down,"I know one game isn't the season, but this month feels heavy. Sticking to the plan anyway."
ath_kenzie,2026-04-12,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_kenzie,2026-06-05,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_priya,2025-08-20,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_priya,2025-10-15,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_priya,2025-12-10,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_priya,2026-02-18,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_priya,2026-04-12,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_priya,2026-06-05,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_sophia,2025-08-20,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_sophia,2025-10-15,flat,"Solid week. Not my best, not my worst. competitive drive still needs reps and I know it."
ath_sophia,2025-12-10,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_sophia,2026-02-18,down,"Couldn't find it today. Wrote down one lesson like the guide says, then closed the notebook."
ath_sophia,2026-04-12,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_sophia,2026-06-05,flat,"Solid week. Not my best, not my worst. competitive drive still needs reps and I know it."
ath_ella,2025-08-20,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_ella,2025-10-15,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_ella,2025-12-10,up,Best stretch I've had all year. Clutch Self-Talk before practice is paying off — confidence finally feels automatic in big counts.
ath_ella,2026-02-18,down,"Couldn't find it today. Wrote down one lesson like the guide says, then closed the notebook."
ath_ella,2026-04-12,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_ella,2026-06-05,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_noa,2025-08-20,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_noa,2025-10-15,flat,"Solid week. Not my best, not my worst. resilience still needs reps and I know it."
ath_noa,2025-12-10,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_noa,2026-02-18,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_noa,2026-04-12,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_noa,2026-06-05,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_gabby,2025-08-20,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_gabby,2025-10-15,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_gabby,2025-12-10,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_gabby,2026-02-18,down,Rough one against Summit Select. Replayed the last at-bat the whole ride home. Trying the 24-hour rule.
ath_gabby,2026-04-12,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_gabby,2026-06-05,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_mika,2025-08-20,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_mika,2025-10-15,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_mika,2025-12-10,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_mika,2026-02-18,down,"I know one game isn't the season, but this month feels heavy. Sticking to the plan anyway."
ath_mika,2026-04-12,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_mika,2026-06-05,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
ath_zoe,2025-08-20,flat,"Solid week. Not my best, not my worst. confidence still needs reps and I know it."
ath_zoe,2025-10-15,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_zoe,2025-12-10,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_zoe,2026-02-18,down,Rough one against Summit Select. Replayed the last at-bat the whole ride home. Trying the 24-hour rule.
ath_zoe,2026-04-12,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_zoe,2026-06-05,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_adaeze,2025-08-20,flat,"Same routine this week. Nothing clicking, nothing breaking. Just showing up."
ath_adaeze,2025-10-15,flat,"Practice, homework, practice. Some weeks the game just stays quiet."
ath_adaeze,2025-12-10,up,Five sessions this week. Reps don't lie — the number's moving and I can point to exactly why.
ath_adaeze,2026-02-18,up,Pressure feels smaller lately. Not because the games got smaller — because the work got bigger.
ath_adaeze,2026-04-12,up,Pressure feels smaller lately. Not because the games got smaller — because the work got bigger.
ath_adaeze,2026-06-05,up,Five sessions this week. Reps don't lie — the number's moving and I can point to exactly why.
ath_lena,2025-08-20,up,Best stretch I've had all year. 10-Second Reset before practice is paying off — resilience finally feels automatic in big counts.
ath_lena,2025-10-15,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_lena,2025-12-10,down,Everyone keeps asking if I'm okay. I said yes because that's the easy answer.
ath_lena,2026-02-18,down,Everyone keeps asking if I'm okay. I said yes because that's the easy answer.
ath_lena,2026-04-12,down,Watched more than I played again. Maybe next season looks different.
ath_lena,2026-06-05,down,Everyone keeps asking if I'm okay. I said yes because that's the easy answer.
ath_rowan,2025-08-20,up,Best stretch I've had all year. Anchor Routine before practice is paying off — focus finally feels automatic in big counts.
ath_rowan,2025-10-15,up,Best stretch I've had all year. Anchor Routine before practice is paying off — focus finally feels automatic in big counts.
ath_rowan,2025-12-10,up,Best stretch I've had all year. Anchor Routine before practice is paying off — focus finally feels automatic in big counts.
ath_rowan,2026-02-18,down,"Couldn't find it today. Wrote down one lesson like the guide says, then closed the notebook."
ath_rowan,2026-04-12,up,Score's moving and I know exactly why. Keeping the routine exactly the same.
ath_rowan,2026-06-05,up,"Coach didn't say anything today, but she didn't have to. The work is showing up in games."
